ZoneID0,AgeID,NumChildID,Val
230000,3,3,686
230000,4,0,1296
230000,4,1,1176
230000,4,2,1103
230000,4,3,485
230000,5,0,1503
230000,5,1,190
230000,5,2,85
230000,5,3,14
230000,6,0,4029
230000,6,1,3515
230000,6,2,6930
230000,6,3,2431
230000,7,0,5836
230000,7,1,1439
230000,7,2,606
230000,7,3,112
230000,8,0,5827
230000,8,1,91
230000,8,2,25
230000,8,3,3
230000,9,0,5389
230000,9,1,6
230000,9,2,4
230000,9,3,1
230000,10,0,2115
240000,1,0,6
240000,1,1,1011
240000,1,2,2673
240000,1,3,941
240000,2,0,6
240000,2,1,562
240000,2,2,2311
240000,2,3,1105
240000,3,0,19
240000,3,1,459
240000,3,2,1037
240000,3,3,441
240000,4,0,634
240000,4,1,914
240000,4,2,1024
240000,4,3,376
240000,5,0,1085
240000,5,1,357
240000,5,2,205
240000,5,3,24
240000,6,0,3901
240000,6,1,3713
240000,6,2,6118
240000,6,3,1667
240000,7,0,4951
240000,7,1,834
240000,7,2,296
240000,7,3,48
240000,8,0,3949
240000,8,1,47
240000,8,2,10
240000,8,3,2
240000,9,0,3675
240000,9,1,1
240000,10,0,800
250000,1,0,20
250000,1,1,812
250000,1,2,1786
250000,1,3,848
250000,2,0,46
250000,2,1,556
250000,2,2,1789
250000,2,3,1085
250000,3,0,51
250000,3,1,429
250000,3,2,889
250000,3,3,441
250000,4,0,773
250000,4,1,1017
250000,4,2,890
250000,4,3,374
250000,5,0,1243
250000,5,1,396
250000,5,2,194
250000,5,3,37
250000,6,0,4653
250000,6,1,3184
250000,6,2,4338
250000,6,3,1514
250000,7,0,6164
250000,7,1,799
250000,7,2,266
250000,7,3,46
250000,8,0,5606
250000,8,1,43
250000,8,2,12
250000,8,3,1
250000,9,0,4696
250000,9,1,1
250000,9,2,1
250000,10,0,1117
253000,1,0,6
253000,1,1,1082
253000,1,2,2678
253000,1,3,1066
253000,2,0,36
253000,2,1,643
253000,2,2,2458
253000,2,3,1308
253000,3,0,30
253000,3,1,492
253000,3,2,1016
253000,3,3,463
253000,4,0,889
253000,4,1,1058
253000,4,2,1050
253000,4,3,437
253000,5,0,1382
253000,5,1,448
253000,5,2,231
253000,5,3,32
253000,6,0,4846
253000,6,1,3915
253000,6,2,6073
253000,6,3,1818
253000,7,0,5776
253000,7,1,899
253000,7,2,306
253000,7,3,56
253000,8,0,5134
253000,8,1,54
253000,8,2,17
253000,8,3,3
253000,9,0,4754
253000,9,1,6
253000,9,2,2
253000,10,0,1043
259000,1,0,17
259000,1,1,1387
259000,1,2,2845
259000,1,3,1200
259000,2,0,46
259000,2,1,773
259000,2,2,2473
259000,2,3,1441
259000,3,0,36
259000,3,1,596
259000,3,2,1252
259000,3,3,568
259000,4,0,1652
259000,4,1,1362
259000,4,2,1245
259000,4,3,470
259000,5,0,2403
259000,5,1,625
259000,5,2,319
259000,5,3,52
259000,6,0,7012
259000,6,1,4815
259000,6,2,6421
259000,6,3,1990
259000,7,0,7254
259000,7,1,1045
259000,7,2,332
259000,7,3,58
259000,8,0,6054
259000,8,1,65
259000,8,2,13
259000,8,3,3
259000,9,0,5355
