ZoneID0,AgeID,FamID,Val
269000,10,1,308
269000,10,2,130
270000,1,1,399
270000,1,2,2400
270000,2,1,610
270000,2,2,2325
270000,3,1,396
270000,3,2,1184
270000,4,1,956
270000,4,2,1509
270000,5,1,776
270000,5,2,692
270000,6,1,3371
270000,6,2,8195
270000,7,1,2131
270000,7,2,4802
270000,8,1,1848
270000,8,2,4125
270000,9,1,1870
270000,9,2,2834
270000,10,1,784
270000,10,2,340
306000,1,1,362
306000,1,2,1514
306000,2,1,537
306000,2,2,1578
306000,3,1,288
306000,3,2,757
306000,4,1,840
306000,4,2,1042
306000,5,1,712
306000,5,2,540
306000,6,1,3135
306000,6,2,5467
306000,7,1,1906
306000,7,2,3543
306000,8,1,1835
306000,8,2,3768
306000,9,1,1761
306000,9,2,2366
306000,10,1,722
306000,10,2,304
316000,1,1,910
316000,1,2,5111
316000,2,1,1373
316000,2,2,4519
316000,3,1,738
316000,3,2,2159
316000,4,1,2282
316000,4,2,3030
316000,5,1,1826
316000,5,2,1817
316000,6,1,6997
316000,6,2,15818
316000,7,1,3385
316000,7,2,7333
316000,8,1,2734
316000,8,2,5895
316000,9,1,2481
316000,9,2,3464
316000,10,1,1154
316000,10,2,414
320000,1,1,406
320000,1,2,2428
320000,2,1,659
320000,2,2,2050
320000,3,1,369
320000,3,2,1057
320000,4,1,989
320000,4,2,1420
320000,5,1,897
320000,5,2,850
320000,6,1,3707
320000,6,2,7989
320000,7,1,1736
320000,7,2,4057
320000,8,1,1491
320000,8,2,3151
320000,9,1,1300
320000,9,2,1905
320000,10,1,621
320000,10,2,262
326000,1,1,609
326000,1,2,2836
326000,2,1,910
326000,2,2,2658
326000,3,1,540
326000,3,2,1276
326000,4,1,1448
326000,4,2,1852
326000,5,1,1107
326000,5,2,1156
326000,6,1,4844
326000,6,2,9397
326000,7,1,2533
326000,7,2,5034
326000,8,1,2209
326000,8,2,4312
326000,9,1,1939
326000,9,2,2703
326000,10,1,868
326000,10,2,371
329000,1,1,431
329000,1,2,2620
329000,2,1,602
329000,2,2,2192
329000,3,1,348
329000,3,2,1013
329000,4,1,1134
329000,4,2,1568
329000,5,1,1008
329000,5,2,1064
329000,6,1,3883
329000,6,2,8317
329000,7,1,1534
329000,7,2,3421
329000,8,1,1145
329000,8,2,2387
329000,9,1,1033
329000,9,2,1467
329000,10,1,514
329000,10,2,225
330000,1,1,1138
330000,1,2,5110
330000,2,1,1406
330000,2,2,4227
330000,3,1,832
330000,3,2,1983
330000,4,1,2995
330000,4,2,3542
330000,5,1,2500
330000,5,2,2554
330000,6,1,8371
330000,6,2,15623
330000,7,1,3882
330000,7,2,7466
330000,8,1,3256
330000,8,2,6066
330000,9,1,2984
330000,9,2,3875
330000,10,1,1430
330000,10,2,488
336000,1,1,252
336000,1,2,1547
336000,2,1,350
336000,2,2,1437
336000,3,1,206
336000,3,2,643
336000,4,1,547
336000,4,2,823
336000,5,1,389
336000,5,2,488
336000,6,1,1978
336000,6,2,5126
336000,7,1,1152
336000,7,2,2649
336000,8,1,879
336000,8,2,2277
336000,9,1,912
336000,9,2,1439
336000,10,1,405
336000,10,2,193
340000,1,1,354
340000,1,2,2184
340000,2,1,571
340000,2,2,1865
340000,3,1,345
340000,3,2,896
340000,4,1,756
340000,4,2,1166
340000,5,1,640
340000,5,2,688
340000,6,1,2793
340000,6,2,6739
340000,7,1,1423
340000,7,2,3257
340000,8,1,1161
340000,8,2,2392
340000,9,1,1108
340000,9,2,1377
340000,10,1,504
340000,10,2,225
350000,1,1,238
350000,1,2,2458
350000,2,1,478
350000,2,2,2013
350000,3,1,261
350000,3,2,922
350000,4,1,615
350000,4,2,1138
350000,5,1,417
350000,5,2,510
350000,6,1,2141
350000,6,2,7029
350000,7,1,1014
350000,7,2,3165
350000,8,1,906
350000,8,2,2493
350000,9,1,947
350000,9,2,1581
350000,10,1,426
350000,10,2,178
360000,1,1,464
360000,1,2,1907
360000,2,1,679
360000,2,2,1923
360000,3,1,387
360000,3,2,843
360000,4,1,1100
360000,4,2,1221
360000,5,1,824
360000,5,2,720
360000,6,1,4177
360000,6,2,6680
360000,7,1,2489
360000,7,2,4177
360000,8,1,2391
360000,8,2,4075
360000,9,1,2134
360000,9,2,2408
360000,10,1,966
360000,10,2,356
370000,1,1,1033
370000,1,2,5472
370000,2,1,1619
370000,2,2,4811
370000,3,1,867
370000,3,2,2290
370000,4,1,3100
370000,4,2,3462
370000,5,1,2332
370000,5,2,2363
370000,6,1,8674
370000,6,2,17328
370000,7,1,3949
370000,7,2,8084
370000,8,1,3348
370000,8,2,6758
370000,9,1,3168
370000,9,2,3972
370000,10,1,1429
370000,10,2,515
376000,1,1,772
376000,1,2,3395
376000,2,1,1046
376000,2,2,2932
376000,3,1,539
376000,3,2,1418
376000,4,1,1825
376000,4,2,2134
376000,5,1,1496
376000,5,2,1434
376000,6,1,6137
376000,6,2,10940
376000,7,1,3369
376000,7,2,6003
376000,8,1,3040
376000,8,2,5517
376000,9,1,2831
376000,9,2,3556
376000,10,1,1324
376000,10,2,523
390000,1,1,496
390000,1,2,2369
390000,2,1,762
390000,2,2,2317
390000,3,1,477
390000,3,2,1105
390000,4,1,1411
390000,4,2,1568
390000,5,1,993
390000,5,2,941
390000,6,1,4556
390000,6,2,8023
390000,7,1,2571
390000,7,2,4821
390000,8,1,2403
390000,8,2,4379
390000,9,1,2195
