ZoneID0,AgeID,LmaID,Val
161000,8,1,174
161000,8,2,132
161000,8,4,1696
161000,8,5,7
161000,8,6,33
161000,8,8,53
161000,9,1,12
161000,9,2,34
161000,9,3,1
161000,9,4,1550
161000,9,6,3
161000,9,8,18
161000,10,4,622
161000,10,6,3
163000,1,3,2661
163000,2,3,2664
163000,3,3,1062
163000,4,1,407
163000,4,2,380
163000,4,3,485
163000,4,4,6
163000,4,5,29
163000,4,6,162
163000,4,7,857
163000,4,8,12
163000,5,1,806
163000,5,2,166
163000,5,3,135
163000,5,4,13
163000,5,5,64
163000,5,6,126
163000,5,7,255
163000,5,8,34
163000,6,1,6440
163000,6,2,1022
163000,6,3,154
163000,6,4,335
163000,6,5,361
163000,6,6,617
163000,6,7,214
163000,6,8,328
163000,7,1,2109
163000,7,2,507
163000,7,3,5
163000,7,4,662
163000,7,5,142
163000,7,6,178
163000,7,7,5
163000,7,8,157
163000,8,1,231
163000,8,2,216
163000,8,4,2357
163000,8,5,10
163000,8,6,24
163000,8,8,84
163000,9,1,4
163000,9,2,43
163000,9,3,1
163000,9,4,1877
163000,9,6,1
163000,9,8,18
163000,10,1,3
163000,10,2,5
163000,10,4,772
163000,10,6,5
163000,10,8,4
165000,1,3,2401
165000,2,3,2411
165000,3,3,1074
165000,4,1,392
165000,4,2,424
165000,4,3,638
165000,4,4,16
165000,4,5,31
165000,4,6,208
165000,4,7,990
165000,4,8,16
165000,5,1,724
165000,5,2,199
165000,5,3,226
165000,5,4,17
165000,5,5,128
165000,5,6,177
165000,5,7,288
165000,5,8,40
165000,6,1,5230
165000,6,2,1046
165000,6,3,234
165000,6,4,412
165000,6,5,499
165000,6,6,680
165000,6,7,238
165000,6,8,342
165000,7,1,1761
165000,7,2,418
165000,7,3,5
165000,7,4,610
165000,7,5,166
165000,7,6,217
165000,7,7,10
165000,7,8,122
165000,8,1,155
165000,8,2,181
165000,8,3,4
165000,8,4,2008
165000,8,5,8
165000,8,6,45
165000,8,8,62
165000,9,1,7
165000,9,2,53
165000,9,4,2089
165000,9,6,9
165000,9,8,25
165000,10,1,1
165000,10,2,1
165000,10,4,484
165000,10,6,1
165000,10,8,3
167000,1,3,5217
167000,2,3,4734
167000,3,3,1957
167000,4,1,691
167000,4,2,663
167000,4,3,978
167000,4,4,9
167000,4,5,54
167000,4,6,350
167000,4,7,1523
167000,4,8,29
167000,5,1,1414
167000,5,2,386
167000,5,3,302
167000,5,4,24
167000,5,5,162
167000,5,6,280
167000,5,7,463
167000,5,8,46
167000,6,1,12245
167000,6,2,1882
167000,6,3,270
167000,6,4,637
167000,6,5,708
167000,6,6,1344
167000,6,7,437
167000,6,8,680
167000,7,1,3593
167000,7,2,795
167000,7,3,5
167000,7,4,1104
167000,7,5,278
167000,7,6,412
167000,7,7,18
167000,7,8,289
167000,8,1,411
167000,8,2,355
167000,8,3,3
167000,8,4,3889
167000,8,5,23
167000,8,6,72
167000,8,8,115
167000,9,1,7
167000,9,2,89
167000,9,3,2
167000,9,4,3334
167000,9,6,5
167000,9,8,30
167000,10,2,13
167000,10,4,1106
167000,10,6,7
169000,1,3,5300
169000,2,3,4444
169000,3,3,1988
169000,4,1,902
169000,4,2,711
169000,4,3,840
169000,4,4,29
169000,4,5,64
169000,4,6,384
169000,4,7,1444
169000,4,8,30
169000,5,1,2071
169000,5,2,493
169000,5,3,244
169000,5,4,33
169000,5,5,248
