ZoneID0,AgeID,IncomeID,Val
161000,4,3,276
161000,4,4,42
161000,4,5,10
161000,4,6,0
161000,4,7,0
161000,4,8,0
161000,4,9,0
161000,4,10,0
161000,5,0,59
161000,5,1,164
161000,5,2,407
161000,5,3,598
161000,5,4,291
161000,5,5,90
161000,5,6,26
161000,5,7,12
161000,5,8,0
161000,5,9,5
161000,5,10,0
161000,6,0,330
161000,6,1,325
161000,6,2,1091
161000,6,3,2331
161000,6,4,1858
161000,6,5,986
161000,6,6,509
161000,6,7,259
161000,6,8,165
161000,6,9,109
161000,6,10,97
161000,7,0,90
161000,7,1,100
161000,7,2,403
161000,7,3,994
161000,7,4,698
161000,7,5,364
161000,7,6,152
161000,7,7,92
161000,7,8,52
161000,7,9,58
161000,7,10,38
161000,8,0,27
161000,8,1,79
161000,8,2,733
161000,8,3,709
161000,8,4,341
161000,8,5,105
161000,8,6,51
161000,8,7,25
161000,8,8,12
161000,8,9,6
161000,8,10,7
161000,9,0,16
161000,9,1,40
161000,9,2,713
161000,9,3,538
161000,9,4,247
161000,9,5,40
161000,9,6,17
161000,9,7,0
161000,9,8,4
161000,9,9,0
161000,9,10,4
161000,10,0,6
161000,10,1,15
161000,10,2,275
161000,10,3,207
161000,10,4,96
161000,10,5,16
161000,10,6,7
161000,10,7,0
161000,10,8,1
161000,10,9,0
161000,10,10,2
163000,1,0,2661
163000,1,1,0
163000,1,2,0
163000,1,3,0
163000,1,4,0
163000,1,5,0
163000,1,6,0
163000,1,7,0
163000,1,8,0
163000,1,9,0
163000,1,10,0
163000,2,0,2664
163000,2,1,0
163000,2,2,0
163000,2,3,0
163000,2,4,0
163000,2,5,0
163000,2,6,0
163000,2,7,0
163000,2,8,0
163000,2,9,0
163000,2,10,0
163000,3,0,272
163000,3,1,790
163000,3,2,0
163000,3,3,0
163000,3,4,0
163000,3,5,0
163000,3,6,0
163000,3,7,0
163000,3,8,0
163000,3,9,0
163000,3,10,0
163000,4,0,0
163000,4,1,1103
163000,4,2,893
163000,4,3,283
163000,4,4,54
163000,4,5,6
163000,4,6,0
163000,4,7,0
163000,4,8,0
163000,4,9,0
163000,4,10,0
163000,5,0,80
163000,5,1,196
163000,5,2,408
163000,5,3,558
163000,5,4,222
