ZoneID0,AgeID,GenderID,Val
201000,2,1,1253
201000,2,2,1229
201000,3,1,592
201000,3,2,560
201000,4,1,897
201000,4,2,732
201000,5,1,315
201000,5,2,317
201000,6,1,4022
201000,6,2,4280
201000,7,1,1788
201000,7,2,1861
201000,8,1,1215
201000,8,2,1353
201000,9,1,1075
201000,9,2,1285
201000,10,1,255
201000,10,2,415
210000,1,1,1892
210000,1,2,1865
210000,2,1,1836
210000,2,2,1742
210000,3,1,830
210000,3,2,843
210000,4,1,1318
210000,4,2,1213
210000,5,1,744
210000,5,2,726
210000,6,1,6145
210000,6,2,6604
210000,7,1,2892
210000,7,2,3108
210000,8,1,2387
210000,8,2,2723
210000,9,1,1774
210000,9,2,2098
210000,10,1,328
210000,10,2,621
217000,1,1,2530
217000,1,2,2485
217000,2,1,2356
217000,2,2,2329
217000,3,1,1225
217000,3,2,1148
217000,4,1,2282
217000,4,2,2055
217000,5,1,1312
217000,5,2,1286
217000,6,1,8929
217000,6,2,9525
217000,7,1,4856
217000,7,2,4977
217000,8,1,3622
217000,8,2,4201
217000,9,1,2898
217000,9,2,3610
217000,10,1,646
217000,10,2,1127
219000,1,1,2418
219000,1,2,2377
219000,2,1,2245
219000,2,2,2186
219000,3,1,1091
219000,3,2,1102
219000,4,1,2378
219000,4,2,2168
219000,5,1,1580
219000,5,2,1413
219000,6,1,8491
219000,6,2,8765
219000,7,1,3743
219000,7,2,3838
219000,8,1,2399
219000,8,2,2679
219000,9,1,1807
219000,9,2,2303
219000,10,1,444
219000,10,2,732
223000,1,1,994
223000,1,2,911
223000,2,1,1062
223000,2,2,994
223000,3,1,530
223000,3,2,538
223000,4,1,778
223000,4,2,663
223000,5,1,306
223000,5,2,371
223000,6,1,3238
223000,6,2,3654
223000,7,1,1701
223000,7,2,1867
223000,8,1,1360
223000,8,2,1645
223000,9,1,1304
223000,9,2,1781
223000,10,1,366
223000,10,2,652
230000,1,1,2760
230000,1,2,2592
230000,2,1,2632
230000,2,2,2460
230000,3,1,1311
230000,3,2,1226
230000,4,1,2270
230000,4,2,1790
230000,5,1,979
230000,5,2,813
230000,6,1,8088
230000,6,2,8817
230000,7,1,3952
230000,7,2,4041
230000,8,1,2856
230000,8,2,3090
230000,9,1,2319
230000,9,2,3081
230000,10,1,767
230000,10,2,1349
240000,1,1,2396
240000,1,2,2235
240000,2,1,2010
240000,2,2,1974
240000,3,1,1023
240000,3,2,933
240000,4,1,1625
240000,4,2,1323
240000,5,1,822
240000,5,2,849
240000,6,1,7527
240000,6,2,7872
240000,7,1,3114
240000,7,2,3015
240000,8,1,1895
240000,8,2,2113
240000,9,1,1691
240000,9,2,1985
240000,10,1,337
240000,10,2,463
250000,1,1,1791
250000,1,2,1675
250000,2,1,1791
250000,2,2,1685
250000,3,1,915
250000,3,2,895
250000,4,1,1662
250000,4,2,1392
250000,5,1,946
250000,5,2,924
250000,6,1,6756
250000,6,2,6933
250000,7,1,3653
250000,7,2,3622
250000,8,1,2676
250000,8,2,2986
250000,9,1,2163
250000,9,2,2535
250000,10,1,408
250000,10,2,709
253000,1,1,2501
253000,1,2,2331
253000,2,1,2338
253000,2,2,2107
253000,3,1,1025
253000,3,2,976
253000,4,1,1829
253000,4,2,1605
253000,5,1,1063
253000,5,2,1030
253000,6,1,8147
253000,6,2,8505
253000,7,1,3512
253000,7,2,3525
253000,8,1,2430
253000,8,2,2778
253000,9,1,2139
253000,9,2,2623
253000,10,1,436
253000,10,2,607
259000,1,1,2801
259000,1,2,2648
259000,2,1,2432
259000,2,2,2301
259000,3,1,1253
259000,3,2,1199
259000,4,1,2526
259000,4,2,2203
259000,5,1,1751
259000,5,2,1648
259000,6,1,10105
259000,6,2,10133
259000,7,1,4387
259000,7,2,4302
259000,8,1,2863
259000,8,2,3272
259000,9,1,2400
